question_id,question,answer_0,answer_1,answer_2,correct_answer
0,"Что делала кошка английского писателя Чарльза Диккенса, чтобы привлечь внимание своего хозяина?",гасила свечку над его рабочим столом,истошно мяукала,подбрасывала на рабочий лист свежепойманную мышь,0
1,Кто из перечисленных Не Джедай ?,Луминара Ундули,Бастила Шан,Капитан Фазма,2
2,Кто на данный момент является президентом Республики Молдовы?,Николай Тимофти,Михай Гимпу,Игорь Додон,2
3,Как звали Бога в Древней Греции?,Амон-Ра,Гелиос,Зевс,1
7,Как зовут братьев из сериала сверхъестественное?,Дин и Сэм,Дэрил и Мерл,Деймон и Стефан,0
9,Как называется середина партии в шахматах?,Эндшпиль,Дебют,Миттельшпиль,2
10,Что в Риге называют наше золото?,Шпроты,Рубины,Нефть,0
11,"В каком году вышел альбом Майкла Джексона ""Thriller""?",1983,1982,1981,1
12,Сколько раз получал Оскар Леонардо ДиКаприо,3,5,4,2
13,Каким было первое название группы Radiohead?,In Rainbows,On A Friday,Talking Heads,1
17,Какой станции метро нет в московском метро,Локомотив,цска,Динамо,0
20,Как с 16 века во Франции стали называть протестантов?,Капетинги,Бурбоны,Гугеноты,2
22,В каком году родился Пушкин?,1801,1758,1799,2
23,СКОЛЬКО ВСЕГО ЛУН В НАШЕЙ СОЛНЕЧНОЙ СИСТЕМЕ?,80,82,30,0
24,Кто стал победителем 16 сезона «Битвы Экстрасенсов»?,Виктория Райдос,Свами Даши,Джулия Ванг,0
25,Как называется родная планета Доктора Кто?,Галлифрей,Раксакорикофаллапаториус,Дариллиум,0
26,Какое млекопитающее не может прыгать?,Жираф,Мышь,Слон,0
27,Сколько разводных мостов в Петербурге?,21,17,11,0
29,С какой песней группа Tatu выступала на Евровидение в 2003 году?,Не верь не бойся не проси,Al about us,Нас не догонят,0
30,В каком футбольном клубе НЕ играл Дмитрий Сычев?,Окжетпес,Олимпик,Динамо Москва,2
31,Сколько букв в казахском алфавите?,33,45,42,2
32,Каких денег преобладает в современное время,Электронные,Монеты из металлов,Бумажные,0
35,Сколько просветов было на погонах есаула?,Два,Один,Три,1
37,Что было похищено в 2000 году в Лос-Анджелесе?,"Статуэтки ""Оскар""",1 миллиард долларов,Багаж Бритни Спирс,0
39,Какой из этих диджеев из Норвегии?,Marshmello,Мартин Гаррикс,Алан Уокер,2
41,Кто из нижеперечисленных видеоблогеров не вёл клевер,Катя клэп,Эльдар Джарахов,Стас Давыдов,0
42,"Как звали рэпера Рому в сериале ""Счастливы вместе""",Грандмастер,Колбастер,Сосистер,0
43,В какой стране придумали хоккей с шайбой?,Канада,СССР,США,0
44,Какой из этих Латиноамериканских танцев на международном турнире танцуется 4-ым  по счету?,Румба,Пасодобль,Джайв,1
46,Кто из этих хищников является самым крупным сухопутным хищником Австралии,Дикая собака Динго,Тасманский дьявол,Валлаби,0
47,Как кот матроскин говорил ложить колбасу на бутерброде?,Под язык,Сразу всю,На язык,2
48,Когда отмечается день системного администратора?,27 августа,20 июля,27 июля,2
49,Сколько раз старик из сказки А. С. Пушкина вызывал Золотую рыбку?,три,четыре,пять,2
51,Как звали самого старшего ребенка в семье Уизли?,Чарли,Перси,Билл,2
52,Какой из напитков производится из винограда?,Виски,Ром,Коньяк,2
53,"В каком году команда КВН ""Утомлённые солнцем"" стали чемпионами Высшей лиги КВН",1995,2010,2003,2
55,Как изначально назывался город Калининград?,Кёнигсберг,Карлштадт,Клингенберг,0
56,"В каком году Россия дебютировала на конкурсе песни ""Евровидение""?",1994,1993,1996,0
58,Кто забил самый красивый гол на ЧМ-2018 в России по версии ФИФА ?,Бенджамин  Павар,Денис Черышев,Криштиану Роналду,0
59,На счету какой футбольной команды наибольшее кол-во побед во всех сезонах АПЛ?,Ливерпуль,Манчестер Юнайтед,Манчестер Сити,1
61,Какая из планет находиться между Юпитером и Землей?,Марс,Венера,Сатурн,0
64,Какая часть тела остается того же размера с рождения до смерти?,Сердце,Глазное яблоко,Печень,1
66,"Какое прозвище было у Лисбет Саландер из произведения ""Девушка с татуировкой дракона"" Стига Ларссона?",Шмель,Оса,Пчела,1
67,За 30 лет температура земли повысилась на...,"0,5 °С","0,8 °С","1,8 °С",0
68,Сколько пользователей посещает Вконтакте в день?,Около 70 млн человек,Около 50 млн человек,Около 90 млн человек,0
69,Жители какой страны по статистике имеют самый высокий рост,Эстония,Голландия,Бельгия,1
70,"Что за птица, жила у Дамблдора в серии книг о Гарри Поттере?",Грифон,Ворон,Феникс,2
71,Сколько клеток занимают фигуры?,32,16,64,0
73,Кому посвящён самый большой в мире памятник писателя?,Иоганну Вольфганг фон Гёте,Александру Пушкину,Вальтеру Скотту,2
74,В каком году Менделеев составил таблицу элементов?,В 1969 году,В 1789 году,В 1834 году,0
75,Как зовут друга крокодила Гены?,Дурашка,Мурашка,Чебурашка,2
76,Что собой представляет азиатский вид спорта сепактакрау?,Гандбол воздушным шаром,Хоккей на роликах,Волейбол ногами,2
78,В каком веке Христофор Колумб открыл материк Америка?,XVII,XIV,XV,2
79,Когда добавят стикеры?,1,3,2,0
80,Когда Дональд Трамп вступил в должность президента США?,20 января 2018 года,20 февраля 2017 года,20 января 2017 года,2
82,В каком году была основана фирма LEGO?,1926 г.,1899 г.,1932 г.,2
83,"Сколько земных лет прошло, пока герои фильма Интерстеллар находились на планете Миллер?",23 года 4 месяца,24 года 5 месяцев,22 года 3 месяца,2
84,В каком году официально принято начало кинематографа?,"1895 ""прибытие поезда""",1904,1911,0
85,Как Мастер выиграл много денег?,Украл,Унаследовал,Выиграл в лотерею,2
86,Какой актер в реальной жизни был боксером и на ринге под прозвищем Мариэлито?,Жан-Клод Ван Дамм,Сильвестр Сталлоне,Микки Рурк,2
87,"В 967 или 968 году Святослав, по просьбе Византии, совершил набег на ... царство",Византийское царство,Русское царство,Болгарское царство,2
88,Про каких привередливых животных пел в своей известной песне Высоцкий?,Быки,Носороги,Кони,2
89,как в переводе с латинского будет Viridis nitentis?,Хлоргексидин,Бриллиантовый зелёный,Метиленовый синий,1
92,"Продолжите фразу ""Ладно, и так ...""",Пойдет,Поможет,Сойдет,2
93,Когда день рождения клевера?,16 ноября,13 сентября,14 марта,2
94,У кого из этих исполнителей больше наград Grammy?,Квинси Джонс,Стиви Уандер,Бейонсе,0
95,Какое событие произошло раньше ?,Ледовое побоище,Куликовская битва,Битва  на реке Калке,2
97,Какая самая популярная социальная сеть?,YouTube,Вконтакте,Facebook,2
99,Гуманизация образования предполагает,разнообразие образовательных услуг,компьютеризацию учебных заведений,унификацию требований к учебному оборудованию,0
100,Какого села нет в России?,Хомяки,Гусеница,Комары,1
101,Какой город является вторым по численности населения городом Франции после Парижа?,Тулуза,Марсель,Ницца,1
102,Как в Древней Греции называли торжественное жертвоприношение из ста быков?,Корбан,Евхаристия,Гекатомба,2
104,Как назывался «Первый канал» до его переименования?,ОРТ,РТВ,ПРТ,0
105,Какая из данных теорем не существует?,Теорема Пучиата,Биномиальная теорема Абеля,Теорема Зайденберга — Тарского,0
